Postal_code,Population
" ,"" "",""1806 Frederiksberg C (Frederiksberg Municipality)"",185"
" ,"" "",""1807 Frederiksberg C (Frederiksberg Municipality)"",204"
" ,"" "",""1808 Frederiksberg C (Frederiksberg Municipality)"",119"
" ,"" "",""1809 Frederiksberg C (Frederiksberg Municipality)"",228"
" ,"" "",""1810 Frederiksberg C (Frederiksberg Municipality)"",752"
" ,"" "",""1811 Frederiksberg C (Frederiksberg Municipality)"",53"
" ,"" "",""1812 Frederiksberg C (Frederiksberg Municipality)"",456"
" ,"" "",""1813 Frederiksberg C (Frederiksberg Municipality)"",588"
" ,"" "",""1814 Frederiksberg C (Frederiksberg Municipality)"",439"
" ,"" "",""1815 Frederiksberg C (Frederiksberg Municipality)"",234"
" ,"" "",""1816 Frederiksberg C (Frederiksberg Municipality)"",160"
" ,"" "",""1817 Frederiksberg C (Frederiksberg Municipality)"",450"
" ,"" "",""1818 Frederiksberg C (Frederiksberg Municipality)"",134"
" ,"" "",""1819 Frederiksberg C (Frederiksberg Municipality)"",159"
" ,"" "",""1820 Frederiksberg C (Frederiksberg Municipality)"",1349"
" ,"" "",""1822 Frederiksberg C (Frederiksberg Municipality)"",84"
" ,"" "",""1823 Frederiksberg C (Frederiksberg Municipality)"",72"
" ,"" "",""1824 Frederiksberg C (Frederiksberg Municipality)"",351"
" ,"" "",""1825 Frederiksberg C (Frederiksberg Municipality)"",119"
" ,"" "",""1826 Frederiksberg C (Frederiksberg Municipality)"",183"
" ,"" "",""1827 Frederiksberg C (Frederiksberg Municipality)"",346"
" ,"" "",""1828 Frederiksberg C (Frederiksberg Municipality)"",274"
" ,"" "",""1829 Frederiksberg C (Frederiksberg Municipality)"",328"
" ,"" "",""1850 Frederiksberg C (Frederiksberg Municipality)"",1812"
" ,"" "",""1851 Frederiksberg C (Frederiksberg Municipality)"",408"
" ,"" "",""1852 Frederiksberg C (Frederiksberg Municipality)"",193"
" ,"" "",""1853 Frederiksberg C (Frederiksberg Municipality)"",345"
" ,"" "",""1854 Frederiksberg C (Frederiksberg Municipality)"",279"
" ,"" "",""1855 Frederiksberg C (Frederiksberg Municipality)"",415"
" ,"" "",""1856 Frederiksberg C (Frederiksberg Municipality)"",112"
" ,"" "",""1857 Frederiksberg C (Frederiksberg Municipality)"",57"
" ,"" "",""1860 Frederiksberg C (Frederiksberg Municipality)"",230"
" ,"" "",""1861 Frederiksberg C (Frederiksberg Municipality)"",188"
" ,"" "",""1862 Frederiksberg C (Frederiksberg Municipality)"",135"
" ,"" "",""1863 Frederiksberg C (Frederiksberg Municipality)"",95"
" ,"" "",""1864 Frederiksberg C (Frederiksberg Municipality)"",618"
" ,"" "",""1865 Frederiksberg C (Frederiksberg Municipality)"",67"
" ,"" "",""1866 Frederiksberg C (Frederiksberg Municipality)"",184"
" ,"" "",""1867 Frederiksberg C (Frederiksberg Municipality)"",19"
" ,"" "",""1868 Frederiksberg C (Frederiksberg Municipality)"",264"
" ,"" "",""1870 Frederiksberg C (Frederiksberg Municipality)"",1058"
" ,"" "",""1871 Frederiksberg C (Frederiksberg Municipality)"",634"
" ,"" "",""1872 Frederiksberg C (Frederiksberg Municipality)"",82"
" ,"" "",""1873 Frederiksberg C (Frederiksberg Municipality)"",32"
" ,"" "",""1874 Frederiksberg C (Frederiksberg Municipality)"",454"
" ,"" "",""1875 Frederiksberg C (Frederiksberg Municipality)"",239"
" ,"" "",""1876 Frederiksberg C (Frederiksberg Municipality)"",98"
" ,"" "",""1877 Frederiksberg C (Frederiksberg Municipality)"",47"
" ,"" "",""1878 Frederiksberg C (Frederiksberg Municipality)"",94"
" ,"" "",""1879 Frederiksberg C (Frederiksberg Municipality)"",1521"
" ,"" "",""1900 Frederiksberg C (Frederiksberg Municipality)"",966"
" ,"" "",""1901 Frederiksberg C (Frederiksberg Municipality)"",33"
" ,"" "",""1902 Frederiksberg C (Frederiksberg Municipality)"",830"
" ,"" "",""1903 Frederiksberg C (Frederiksberg Municipality)"",335"
" ,"" "",""1904 Frederiksberg C (Frederiksberg Municipality)"",767"
" ,"" "",""1905 Frederiksberg C (Frederiksberg Municipality)"",246"
